t,x,y,z,vx,vy,vz,earth_x,earth_y,earth_z,moon_x,moon_y,moon_z,sx,sy,sz
7209427.7151280064,-149888929546.00845,-11832002382.828154,-5073738032.3876028,2851.7140446795684,-27784.037392112943,-12246.432384549455,-149707717108.63455,-11440906710.284838,-4928230121.4914322,-149901034946.51199,-11772593513.89831,-5038482745.9957056,1.1210540113700453,0.11108272131631836,-0.027352834399203777
7216224.9558305768,-149869395431.25061,-12020789054.003803,-5156949562.5265074,2895.9026177027449,-27764.005245576733,-12237.466256980875,-149694648294.37936,-11626804751.131119,-5008824294.9214344,-149882245962.77063,-11961523059.274734,-5120691527.5460529,1.1223323123453408,0.11084364574320577,-0.029658580982207118
7223302.1862643901,-149848738460.60568,-12217207712.232321,-5243523604.5475235,2941.6373037431517,-27743.216265061459,-12228.03180707371,-149680750103.56906,-11820339618.876516,-5092729209.8686409,-149862334693.55151,-12158109879.19125,-5206242665.6841736,1.1236725946619108,0.11048581017987145,-0.032030293851052202
7230379.4166982034,-149827758785.96295,-12413479482.144722,-5330030532.1166668,2987.0986452866523,-27722.494759034409,-12218.50065243612,-149666555013.22781,-12013853074.196754,-5176624714.7890539,-149842070050.69571,-12354567995.791235,-5291748346.2781124,1.1250205868948278,0.11001872401261513,-0.034370968684840672
7237456.6471320167,-149806458320.30338,-12609604833.373281,-5416469675.3497629,3032.2926771565903,-27701.838500605303,-12208.876849414008,-149652063048.30255,-12207344740.448807,-5260510647.9096651,-149821454060.3187,-12550896295.568434,-5377207962.9050426,1.126374464371704,0.10944428093537341,-0.036679222519849057
7244533.87756583,-149784838934.98843,-12805584219.916088,-5502840392.1150923,3077.2251296796776,-27681.245299208738,-12199.164188104827,-149637274234.24869,-12400814240.7029,-5344386847.3617067,-149800488756.04797,-12747093696.610123,-5462620920.5177898,1.1277324090714598,0.10876438384338151,-0.038953745771520894
7251611.1079996433,-149762902461.84024,-13001418080.407495,-5589142066.2254496,3121.9014495484494,-27660.713004141369,-12189.366213629621,-149622188597.03537,-12594261197.745403,-5428253151.1813221,-149779176178.58063,-12943159148.426577,-5547986635.4177151,1.1290926123037248,0.10798094458702194,-0.041193297534057594
7258688.3384334566,-149740650695.08069,-13197106838.408716,-5675374105.7743521,3166.3268187349263,-27640.239506762518,-12179.486245620525,-149606806163.15048,-12787685234.081696,-5512109397.3102522,-149757518375.25427,-13139091631.780214,-5633304535.226367,1.130453277156787,0.10709588386129551,-0.043396701198389259
7265765.5688672699,-149718085393.14349,-13392650902.710098,-5761535941.604311,3210.5061716048644,-27619.822741633227,-12169.527396077343,-149591126959.60553,-12981085971.939047,-5595955423.5965328,-149735517399.63147,-13334890158.514902,-5718574058.8561201,1.1318126207347237,0.10611113120834884,-0.045562840368771458
7272842.7993010832,-149695208280.37079,-13588050667.638393,-5847627025.8961306,3254.4442103772826,-27599.460686823506,-12159.492585736669,-149575151013.94019,-13174463033.269485,-5679791067.7952003,-149713175311.0972,-13530553771.385941,-5803794656.480032,1.1331688762031451,0.10502862511274411,-0.047690655059137797
7279920.0297348965,-149672021048.60602,-13783306513.363819,-5933646830.8691845,3298.1454190677646,-27579.151363579153,-12149.3845590868,-149558878354.22693,-13367816039.752644,-5763616167.5690069,-149690494174.46893,-13726081543.891233,-5888965789.5011139,1.1345202946626205,0.10385031317094075,-0.049779138151550807
7286997.2601687098,-149648525358.69293,-13978418806.202995,-6019594847.5835361,3341.6140760467088,-27558.89283550642,-12139.205898151196,-149542309009.07532,-13561144612.798588,-5847430560.4891357,-149667476059.61902,-13921472580.104076,-5974086930.5212412,1.1358651468661949,0.10257815232147655,-0.051827332099524795
7294074.4906025231,-149624722841.89026,-14173387898.91477,-6105470584.8355789,3384.8542653355835,-27538.683207405138,-12128.959035153208,-149525443007.63629,-13754448373.550632,-5931234084.0359211,-149644123041.10901,-14116726014.508041,-6059157563.3098831,1.1372017247969306,0.10121410912319481,-0.053834325860360514
7301151.7210363364,-149600615101.21069,-14368214130.986887,-6191273568.1396599,3427.8698867559815,-27518.520623857206,-12118.646264165063,-149508280379.6062,-13947726942.888102,-6015026575.5995722,-149620437197.83551,-14311841011.834372,-6144177182.7728701,1.1385283431201338,0.099760160069922874,-0.055799252041541389
7308228.9514701497,-149576203712.69165,-14562897828.912046,-6277003338.7888269,3470.6646650375037,-27498.403267657715,-12108.269751835032,-149490821155.23074,-14140979941.42907,-6098807872.4808807,-149596420612.68729,-14506816766.902302,-6229145294.9213591,1.1398433405231561,0.098218291934718704,-0.057721284246915194
7315306.181903963,-149551490226.60501,-14757439306.452526,-6362659452.9884911,3513.2421579827383,-27478.329358159088,-12097.831547277898,-149473065365.30878,-14334206989.533056,-6182577811.8919411,-149572075372.21271,-14701652504.462673,-6314061416.8412008,1.1411450809559525,0.096590502132890707,-0.059599634609863526
7322383.4123377763,-149526476168.61215,-14951838864.892939,-6448241481.0573521,3555.60576377905,-27458.297149584821,-12087.333591205988,-149455013041.19598,-14527407707.303675,-6266336230.9568472,-149547403566.29807,-14896347479.045256,-6398925076.6628742,1.142431954782017,0.094878799102196973,-0.061433551500784576
7329460.6427715896,-149501163040.87006,-15146096793.281088,-6533749006.6904659,3597.7587275394167,-27438.304929357768,-12076.777724370651,-149436664214.80844,-14720581714.591228,-6350082966.712389,-149522407287.85513,-15090900974.810072,-6483735813.5321493,1.1437023798520587,0.093085202688453009,-0.063222317398023323
7336537.8732054029,-149475552323.09348,-15340213368.657152,-6619181626.2798071,3639.70414714761,-27418.351016478104,-12066.165695377031,-149418018918.62604,-14913728630.99526,-6433817856.1087389,-149497088632.51855,-15285312305.403103,-6568493177.5816545,1.1449548025078411,0.09121174453796109,-0.064965246911166077
